,naics_2007_us_code,wage_offer_from_9089,case_status,wage_offer_unit_of_pay_9089,country_of_citzenship,employer_state,pw_level_9089
0,5239.0,135000.0,1,2.0,57,36,3
1,517.0,69576.0,-1,2.0,85,33,3
2,531390.0,45000.0,1,2.0,141,46,0
3,334220.0,83128.0,1,2.0,24,46,1
4,518210.0,125000.0,1,2.0,57,4,3
5,611110.0,44407.0,1,2.0,85,46,1
6,33911.0,90000.0,1,2.0,57,45,2
7,622110.0,166400.0,1,2.0,19,32,0
8,622310.0,92906.0,1,2.0,57,45,1
9,541330.0,66643.0,1,2.0,105,48,0
10,541330.0,110781.0,1,2.0,89,51,1
11,213112.0,83179.2,1,2.0,142,9,3
12,541511.0,79082.0,-1,2.0,57,37,2
13,541512.0,115000.0,1,2.0,143,4,0
14,541511.0,95306.0,1,2.0,57,48,3
15,541511.0,105000.0,1,2.0,42,4,2
16,541511.0,68200.0,-1,2.0,57,46,1
17,541511.0,73000.0,1,2.0,57,33,2
18,518210.0,75330.0,1,2.0,57,33,1
19,541511.0,52229.0,-1,2.0,57,10,0
20,541511.0,94494.0,1,2.0,57,8,2
21,334220.0,79498.0,1,2.0,57,4,1
22,326299.0,116200.0,1,2.0,57,40,3
23,533110.0,35838.0,1,2.0,116,48,0
24,541511.0,130000.0,1,2.0,18,4,1
25,611310.0,185000.0,1,2.0,57,29,1
26,334112.0,115024.0,1,2.0,57,4,3
27,334220.0,77432.0,-1,2.0,57,4,0
28,519190.0,90000.0,1,2.0,106,36,1
29,334111.0,110000.0,1,2.0,57,4,2
30,517910.0,75000.0,-1,2.0,81,4,2
31,541990.0,49650.0,-1,2.0,31,10,3
32,541211.0,120370.0,1,2.0,57,33,3
33,51121.0,103300.0,1,2.0,69,51,0
34,331312.0,69618.0,-1,2.0,26,2,0
35,812112.0,158870.0,1,2.0,57,3,3
36,541511.0,110000.0,1,2.0,57,15,3
37,541511.0,87422.0,1,2.0,57,40,3
38,336411.0,67300.0,-1,2.0,142,5,3
39,541512.0,128710.0,1,2.0,57,4,2
40,541511.0,120000.0,1,2.0,57,15,3
41,541511.0,68349.0,-1,2.0,57,4,1
42,541511.0,89024.0,1,2.0,57,4,3
43,54171.0,105000.0,-1,2.0,138,3,1
44,611310.0,77400.0,1,2.0,57,4,2
45,541511.0,83000.0,1,2.0,57,48,1
46,3336.0,71739.0,1,2.0,57,16,2
47,454111.0,86528.0,1,2.0,57,51,1
48,541512.0,103834.0,1,2.0,57,33,3
49,611110.0,43440.0,1,2.0,102,21,0
50,519190.0,85000.0,1,2.0,57,36,1
51,523920.0,102500.0,1,2.0,57,36,1
52,541511.0,108534.0,1,2.0,57,46,3
53,71394.0,38400.0,1,2.0,116,36,2
