,naics_2007_us_code,wage_offer_from_9089,case_status,wage_offer_unit_of_pay_9089,country_of_citzenship,employer_state,pw_level_9089
0,541511.0,92000.0,1,2.0,85,10,2
1,541511.0,96000.0,-1,2.0,89,46,2
2,334290.0,106018.0,1,2.0,57,36,3
3,541512.0,76835.0,1,2.0,57,4,1
4,334413.0,98530.0,1,2.0,57,4,1
5,517910.0,96470.0,-1,2.0,57,46,3
6,334417.0,85009.6,1,2.0,57,40,3
7,541512.0,83491.0,1,2.0,57,48,2
8,541511.0,73700.0,1,2.0,57,46,0
9,541512.0,120000.0,1,2.0,45,4,0
10,3359.0,80954.0,-1,2.0,116,4,0
11,611710.0,37669.0,-1,2.0,116,4,0
12,238210.0,73965.0,1,2.0,102,4,1
13,541511.0,140000.0,-1,2.0,57,46,3
14,611310.0,71000.0,1,2.0,26,31,0
15,331210.0,64459.29,1,2.0,57,2,0
16,541690.0,135000.0,1,2.0,97,20,1
17,541511.0,79310.0,1,2.0,57,21,1
18,541512.0,74797.0,-1,2.0,57,4,1
19,541511.0,123282.0,1,2.0,57,4,3
20,541330.0,76900.0,-1,2.0,85,3,2
21,541511.0,73840.0,1,2.0,57,46,2
22,313312.0,68349.0,1,2.0,102,4,0
23,611310.0,61020.0,1,2.0,26,46,0
24,541519.0,96366.0,1,2.0,57,23,3
25,447110.0,25000.0,-1,2.0,89,46,0
26,541330.0,92331.0,1,2.0,57,4,1
27,541611.0,140000.0,1,2.0,24,20,2
28,541511.0,71864.0,1,2.0,57,25,1
29,541512.0,160000.0,1,2.0,57,4,1
30,541110.0,81000.0,1,2.0,85,46,1
31,541511.0,109000.0,1,2.0,57,46,3
32,51121.0,105123.0,1,2.0,57,51,1
33,326192.0,19739.0,-1,2.0,35,33,0
34,424720.0,72000.0,1,2.0,97,46,0
35,722110.0,65728.0,1,2.0,49,33,2
36,211.0,90397.0,1,2.0,58,46,3
37,541512.0,98530.0,1,2.0,57,4,1
38,541511.0,76170.0,1,2.0,57,23,2
39,611110.0,49350.0,1,2.0,85,46,1
40,336391.0,91520.0,1,2.0,116,1,1
41,541511.0,80500.0,1,2.0,57,21,1
42,442110.0,110000.0,1,2.0,57,4,0
43,5416.0,73000.0,1,2.0,57,33,1
44,54151.0,74360.0,1,2.0,24,29,1
45,541511.0,114296.0,1,2.0,57,48,3
46,541512.0,86549.0,1,2.0,57,52,3
47,5415.0,112000.0,1,2.0,57,4,3
48,517910.0,142875.2,1,2.0,57,9,3
49,518210.0,97718.0,1,2.0,57,32,3
50,541512.0,100000.0,-1,2.0,26,48,1
51,523930.0,136989.0,1,2.0,97,36,3
52,541511.0,140000.0,1,2.0,57,29,3
53,334413.0,108014.4,1,2.0,57,4,3
54,541511.0,74235.0,1,2.0,57,51,1
55,5415.0,71115.0,1,2.0,57,23,1
56,522390.0,106392.0,1,2.0,24,9,1
57,237120.0,53996.8,1,2.0,26,46,1
58,54121.0,83117.0,1,2.0,26,33,3
59,334220.0,79498.0,1,2.0,57,4,1
60,541511.0,110100.0,1,2.0,57,4,3
61,5415.0,91000.0,1,2.0,24,51,0
62,541211.0,64200.0,1,2.0,113,23,2
63,541519.0,79102.4,1,2.0,57,4,1
64,54161.0,109617.0,1,2.0,57,40,3
65,722110.0,28475.0,-1,2.0,26,48,3
66,541910.0,257500.0,1,2.0,3,21,0
67,3261.0,83782.0,1,2.0,116,4,1
68,561720.0,16474.0,-1,2.0,26,43,0
69,621210.0,221333.0,1,2.0,57,48,1
70,611310.0,215000.0,1,2.0,45,25,1
71,611310.0,80000.0,1,2.0,45,48,0
72,326211.0,70944.0,1,2.0,27,37,1
73,541519.0,117312.0,1,2.0,106,33,3
74,541519.0,104215.0,1,2.0,57,4,2
75,622110.0,86.0,1,1.0,35,1,0
76,333132.0,83770.83,1,2.0,57,46,2
77,541511.0,131518.0,1,2.0,57,4,3
78,517910.0,74901.0,1,2.0,57,4,1
79,621111.0,225000.0,1,2.0,24,16,0
80,611310.0,53000.0,1,2.0,24,53,0
81,541710.0,45386.0,1,2.0,126,40,0
82,611310.0,63000.0,1,2.0,116,10,0
83,541511.0,68619.0,1,2.0,57,23,1
84,51121.0,88571.0,1,2.0,85,41,2
85,541511.0,123011.2,1,2.0,57,33,1
86,541511.0,50440.0,1,2.0,57,8,0
87,541511.0,69077.0,1,2.0,57,38,2
88,33441.0,99840.0,1,2.0,26,46,1
89,51121.0,107661.0,1,2.0,24,51,1
90,334111.0,125000.0,1,2.0,126,4,0
91,3152.0,105456.0,1,2.0,57,36,3
92,622110.0,209996.0,1,2.0,47,23,1
93,611310.0,55000.0,1,2.0,116,10,1
94,512110.0,117489.0,1,2.0,57,4,3
95,54151.0,115000.0,1,2.0,57,4,3
96,334220.0,108472.0,1,2.0,57,4,3
97,541511.0,52650.0,1,2.0,57,29,0
98,541611.0,93600.0,1,2.0,57,21,0
99,611310.0,36380.0,1,2.0,63,15,0
100,451110.0,94400.0,1,2.0,57,40,1
101,454111.0,112000.0,1,2.0,57,4,2
102,523110.0,117000.0,-1,2.0,26,36,1
103,333613.0,86000.0,1,2.0,116,40,1
104,446191.0,62000.0,1,2.0,45,9,3
105,611110.0,53382.0,1,2.0,85,46,1
106,531210.0,24565.0,1,2.0,85,4,0
107,611110.0,20000.0,1,2.0,102,3,0
108,523920.0,74818.0,1,2.0,115,4,1
109,622110.0,53061.0,1,2.0,126,20,1
110,9251.0,64022.0,-1,2.0,26,20,2
111,518111.0,124999.94,1,2.0,57,51,0
112,541710.0,90000.0,1,2.0,57,15,2
113,4422.0,94494.0,1,2.0,102,4,2
114,611110.0,46990.0,-1,2.0,85,46,1
115,541511.0,89419.0,1,2.0,57,33,1
116,541512.0,95306.0,1,2.0,57,48,3
117,722110.0,34466.0,-1,2.0,26,9,1
118,23711.0,36546.0,-1,2.0,85,46,2
119,541511.0,113090.0,-1,2.0,57,4,1
120,611710.0,90000.0,1,2.0,57,33,1
121,541330.0,63700.0,1,2.0,57,4,1
122,519190.0,60000.0,1,2.0,57,36,0
123,611110.0,81133.0,1,2.0,131,20,1
124,56172.0,11.36,-1,1.0,18,20,1
125,541512.0,115000.0,-1,2.0,57,48,3
126,541940.0,99309.0,1,2.0,57,39,1
127,3342.0,78084.0,1,2.0,26,15,1
128,523920.0,80000.0,1,2.0,57,6,0
129,611310.0,81000.0,1,2.0,26,3,0
130,423450.0,96574.0,1,2.0,24,16,3
131,334413.0,160000.0,1,2.0,24,4,1
132,333514.0,90230.0,1,2.0,66,18,3
133,316211.0,52000.0,-1,2.0,85,4,0
134,541511.0,100838.0,1,2.0,57,46,1
135,238160.0,61360.0,1,2.0,102,36,0
136,523110.0,250000.0,1,2.0,109,36,2
137,541512.0,100000.0,1,2.0,57,10,1
138,541512.0,137500.0,1,2.0,26,4,0
139,334220.0,97760.0,1,2.0,57,4,2
140,541511.0,68619.0,1,2.0,57,23,1
141,5241.0,67787.0,1,2.0,57,52,3
142,325120.0,139000.0,1,2.0,57,46,1
143,311513.0,70000.0,1,2.0,58,4,1
144,541511.0,35.69,1,1.0,57,33,1
145,611310.0,65000.0,1,2.0,143,34,0
146,541511.0,89544.0,1,2.0,57,33,2
147,423450.0,100838.0,1,2.0,57,37,1
148,32541.0,104229.0,1,2.0,19,4,1
149,541512.0,99736.0,1,2.0,57,10,1
150,4244.0,47715.0,1,2.0,116,33,1
151,336111.0,88000.0,1,2.0,63,4,1
152,541512.0,102000.0,1,2.0,57,40,3
153,541511.0,73000.0,1,2.0,57,33,1
154,541511.0,81203.0,1,2.0,57,36,2
155,813110.0,35235.0,1,2.0,116,4,1
156,541511.0,96429.0,1,2.0,57,33,3
157,541513.0,62040.0,-1,2.0,3,23,0
158,453110.0,110000.0,1,2.0,57,36,2
159,238210.0,14.98,-1,1.0,35,36,1
160,444110.0,46738.0,1,2.0,105,29,0
161,454111.0,79851.0,1,2.0,57,51,2
162,326140.0,87416.0,1,2.0,85,40,1
163,541511.0,40997.0,1,2.0,57,4,0
164,423430.0,81000.0,1,2.0,57,3,3
165,541511.0,77000.0,1,2.0,57,46,1
166,51121.0,132000.0,1,2.0,57,51,1
