,housing log-likelihood,perm log-likelihood
2,-9.438169427801688,-2.0926871984878836
5,2.672811957166811,0.029434962005179092
10,9.570625295869139,2.974121781238381
15,13.245994688116086,3.7925114726385
20,13.901234729152497,5.405407992803662
25,16.005983030614082,5.443072897100774
30,15.780526842055526,6.449455570314183
35,15.287536808834863,6.479432376159742
40,17.557312355003315,8.586102749016083
50,19.121625135329687,8.634436232534865
60,20.03637983934739,9.25802093596227
70,20.4660418062415,9.901179533610382
