,housing SSE (left),perm SSE (left)
2,10.999999999999972,6.000000000000021
5,8.588008497713542,3.990074019077718
10,6.97274672085923,2.625026846223525
15,6.263186449200509,2.075884597873548
20,5.695239794187996,1.721785842327522
25,5.2803332250204456,1.5339719276058144
30,4.982129232248981,1.3958507152918167
35,4.679049996328166,1.3109682601952517
40,4.4473519801037975,1.2402838400180645
50,4.105133835195089,1.1170369874966914
60,3.767102213456413,1.027687052062068
70,3.562077048699541,0.96078890760103
