,housing log-likelihood,perm log-likelihood
2,21.39756492231683,18.0806846115406
5,25.548957390918936,18.40053446229082
10,27.616152504776448,18.96628160090064
15,27.891877408455883,19.138386328900005
20,28.70851617524517,19.210071004312486
25,28.60645997769773,19.206847808863998
30,29.107567602602423,19.387798978014633
35,29.338545570797358,19.42883181771878
40,29.61870714150842,19.463410316324794
50,30.122898095300716,19.50841224188051
60,30.151870148403955,19.566477027330162
70,30.733716519533544,19.618198498695445
