,housing SSE (left),perm SSE (left)
2,14840.445945216805,108717.47449744584
5,10216.810655504307,71833.89168046397
10,8265.349394131104,47452.634756138264
15,7256.255792719792,37700.780403745644
20,6588.686030270525,31089.974835415487
25,6106.141810749771,27611.197402183174
30,5686.542126129558,25516.95601206333
35,5338.936892320644,23873.913508520654
40,5062.952779170193,22410.37615070382
50,4589.213022789418,20267.23384537495
60,4275.55142692894,18531.500554165978
70,4023.5669437081624,17330.803649698337
