,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.05825967788696289,0.0005869865417480469,0.7015851137146796,0.694856033115055,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 2}",5,0.6575342465753424,0.6729939603106126,0.6907216494845361,0.696551724137931,0.7206896551724138,0.7011197243755384,0.7172413793103448,0.7019810508182601,0.7222222222222222,0.7016337059329321,0.007866942469368726,1.848935696634416e-05,0.024912640987938564,0.011106413909589646
1,0.058933448791503903,0.0006361961364746094,0.7050310130944176,0.7048621241295001,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 3}",1,0.708904109589041,0.7014667817083693,0.6872852233676976,0.7112068965517241,0.6931034482758621,0.7080103359173127,0.7034482758620689,0.7088716623600344,0.7326388888888888,0.6947549441100602,0.0035533940491323337,2.8961174982992678e-05,0.015696902944818326,0.005998786701908099
2,0.04652171134948731,0.000990438461303711,0.6940041350792557,0.694696688774646,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 4}",16,0.6883561643835616,0.7023295944779983,0.6701030927835051,0.6956896551724138,0.7103448275862069,0.6821705426356589,0.7034482758620689,0.7002583979328165,0.6979166666666666,0.6930352536543423,0.007281915188989609,0.00047487337091141546,0.013972032409608176,0.007068868993802066
3,0.08764829635620117,0.0007042407989501954,0.6753962784286699,0.6943871230423022,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 5}",38,0.708904109589041,0.7040552200172563,0.6666666666666666,0.7094827586206897,0.7,0.7312661498708011,0.7413793103448276,0.726959517657192,0.5590277777777778,0.6001719690455718,0.02919084016203273,0.00010801423675327607,0.06261119731573411,0.04820553716332899
4,0.06100869178771973,0.0007172107696533203,0.6760854583046175,0.6803786352205474,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 6}",34,0.684931506849315,0.6781708369283865,0.6391752577319587,0.6741379310344827,0.6586206896551724,0.6666666666666666,0.6931034482758621,0.6666666666666666,0.7048611111111112,0.7162510748065348,0.017579956135745513,4.605896464533172e-05,0.02392002373980518,0.018475328668970312
5,0.05559897422790527,0.0006807804107666016,0.6602343211578222,0.664712355867748,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 7}",56,0.6267123287671232,0.6298533218291631,0.6460481099656358,0.6629310344827586,0.6896551724137931,0.7019810508182601,0.7137931034482758,0.6950904392764858,0.625,0.6337059329320722,0.015964698623729873,5.561291082594452e-05,0.03548548848995712,0.02997167729089716
6,0.02536287307739258,0.0006818294525146485,0.6188835286009648,0.6154388335291247,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",69,0.6267123287671232,0.6281276962899051,0.6185567010309279,0.6198275862068966,0.5896551724137931,0.5745047372954349,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0014450984591755209,0.00043838522511406244,0.01523459312803418,0.02069307831506268
7,0.057585954666137695,0.000737142562866211,0.6871123363197794,0.6831511872582091,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",21,0.6746575342465754,0.6893874029335634,0.6426116838487973,0.6758620689655173,0.6827586206896552,0.6890611541774333,0.7206896551724138,0.6804478897502153,0.7152777777777778,0.6809974204643164,0.00405112808234388,0.0005367061684130695,0.028547261709827465,0.00527059520813188
8,0.04834060668945313,0.0005823135375976563,0.6374913852515507,0.6481835357077338,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",68,0.6643835616438356,0.6833477135461605,0.6254295532646048,0.6474137931034483,0.6275862068965518,0.6261843238587425,0.6310344827586207,0.6296296296296297,0.6388888888888888,0.6543422184006878,0.014377656600547122,7.401191665531711e-05,0.01424927848133797,0.02050977343596831
9,0.06106348037719726,0.0004957675933837891,0.6685044796691937,0.6733550515966812,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",45,0.7123287671232876,0.7014667817083693,0.6735395189003437,0.7043103448275863,0.6586206896551724,0.6838931955211025,0.6413793103448275,0.6365202411714039,0.65625,0.6405846947549441,0.018481301748506006,2.4981716702612046e-05,0.024247992737649465,0.029292495874733607
10,0.06060600280761719,0.0004925251007080079,0.6526533425223984,0.6750495159091467,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",57,0.6712328767123288,0.6695427092320967,0.6529209621993127,0.6870689655172414,0.7137931034482758,0.7260981912144703,0.5586206896551724,0.6106804478897502,0.6666666666666666,0.6818572656921754,0.017520462268450252,2.9202684843424997e-05,0.05121296074747251,0.03733759958508931
11,0.042448902130126955,0.0005095958709716797,0.6850447966919366,0.692456350274887,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",25,0.6883561643835616,0.7040552200172563,0.6872852233676976,0.6887931034482758,0.7,0.6950904392764858,0.6724137931034483,0.6804478897502153,0.6770833333333334,0.6938950988822012,0.0044061340513997975,3.228916469081197e-05,0.009611526004310013,0.007760988380472138
12,0.048161983489990234,0.0006375789642333984,0.6946933149552033,0.7052082956725085,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",14,0.6883561643835616,0.7109577221742882,0.6769759450171822,0.7120689655172414,0.6862068965517242,0.7011197243755384,0.7103448275862069,0.7019810508182601,0.7118055555555556,0.6999140154772141,0.002960800384944223,2.995182684592527e-05,0.013874859635116142,0.005201646339453722
13,0.06406679153442382,0.0006103515625,0.6795313576843556,0.6871414608476138,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",33,0.6952054794520548,0.7014667817083693,0.6632302405498282,0.7086206896551724,0.6896551724137931,0.6985357450473729,0.7137931034482758,0.6993970714900948,0.6354166666666666,0.6276870163370594,0.015956574281953472,3.052912434069069e-05,0.027278169573106723,0.02993804524224861
14,0.04529662132263183,0.000704813003540039,0.6464507236388698,0.6490403857676297,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",61,0.6472602739726028,0.635030198446937,0.6769759450171822,0.7025862068965517,0.6275862068965518,0.6339362618432386,0.6275862068965518,0.6270456503014643,0.6527777777777778,0.646603611349957,0.013037512276535004,0.00014020742906438718,0.0183629783014053,0.02750011318683613
15,0.07133708000183106,0.0007300853729248046,0.6643694004135079,0.6691975519270691,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",49,0.7157534246575342,0.7023295944779983,0.5876288659793815,0.6439655172413793,0.6241379310344828,0.6192937123169682,0.7068965517241379,0.7019810508182601,0.6875,0.6784178847807395,0.019142077490457605,0.00011552106216414118,0.05003553842442096,0.03281631717084752
16,0.050237417221069336,0.0006639957427978516,0.6884906960716747,0.6885102659507993,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",19,0.708904109589041,0.7204486626402071,0.6701030927835051,0.6905172413793104,0.6931034482758621,0.6925064599483204,0.6689655172413793,0.6744186046511628,0.7013888888888888,0.6646603611349957,0.023025416500660537,5.2249038596027444e-05,0.01628289293412574,0.019012898662923612
