,housing SSE (left),perm SSE (left)
2,10995.700745347644,76181.70276837682
5,7798.445095906964,45059.979764725605
10,6195.648776362381,27899.98675069557
15,5397.110581117859,21340.630100793634
20,4859.580278048571,18123.45027140532
25,4516.937143711789,15915.501651231889
30,4218.508522645487,14512.256217496863
35,3981.891407728678,13385.171597854358
40,3758.7552200264818,12518.626497775533
50,3439.0788106964606,11097.302108061893
60,3148.011067318569,10019.194590392195
70,2999.045251328529,9201.430668792835
