,housing SSE (left),perm SSE (left)
2,12229.190027509127,92922.91487226584
5,7840.680636034652,44790.9217039637
10,5841.343388234525,26111.528746797634
15,4783.841403579599,20836.84643929771
20,4165.240142013474,17362.19487302166
25,3754.157415839181,15265.904497732443
30,3455.8981177897513,13673.864656647062
35,3183.306045188189,12476.162208014424
40,3014.7832548707365,11559.97170584608
50,2661.9628638121485,10099.2043176125
60,2452.7799383473857,9061.172407662008
70,2228.7165511003573,8308.738019440001
