,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.03832292556762695,0.0008276939392089844,0.6154376292212267,0.6168034319283352,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 2}",57,0.5958904109589042,0.5944779982743744,0.6219931271477663,0.6086206896551725,0.6275862068965518,0.627906976744186,0.6,0.6261843238587425,0.6319444444444444,0.6268271711092004,0.005352308450530594,6.636154911172341e-05,0.014721470326030446,0.01324497978103409
1,0.03848476409912109,0.0007768154144287109,0.6416264645072364,0.6542061281152927,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 3}",25,0.6506849315068494,0.6574633304572908,0.6357388316151202,0.6551724137931034,0.6310344827586207,0.6597760551248923,0.6517241379310345,0.6468561584840654,0.6388888888888888,0.6517626827171109,0.005296585998894109,2.681987541379867e-05,0.008231252248830338,0.004529009626706189
2,0.04479985237121582,0.0008107185363769531,0.6271536871123363,0.6256018910224789,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 4}",41,0.6267123287671232,0.6264020707506471,0.6219931271477663,0.6198275862068966,0.6275862068965518,0.627906976744186,0.6275862068965518,0.6270456503014643,0.6319444444444444,0.6268271711092004,0.004941068858265234,3.9927133076244224e-05,0.0031639232222664053,0.002928551042123706
3,0.04063811302185059,0.0008406639099121094,0.6140592694693315,0.6252653605352964,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 5}",64,0.6198630136986302,0.6238136324417601,0.6219931271477663,0.6301724137931034,0.6137931034482759,0.627906976744186,0.6379310344827587,0.6382428940568475,0.5763888888888888,0.6061908856405847,0.012792849966008013,6.938185475790041e-05,0.020370817099605604,0.010634065931143716
4,0.051110267639160156,0.000849151611328125,0.6671261199172984,0.675219546982325,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 6}",16,0.6712328767123288,0.6626402070750647,0.6357388316151202,0.6775862068965517,0.696551724137931,0.6761412575366064,0.6689655172413793,0.6830318690783808,0.6631944444444444,0.6766981943250215,0.01128184788565088,6.17253867736168e-05,0.019436250280878673,0.0067514323886781
5,0.04879879951477051,0.0008501529693603516,0.673328738800827,0.6745534667657994,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 7}",5,0.6815068493150684,0.6790336496980155,0.6701030927835051,0.6836206896551724,0.6862068965517242,0.6933677863910422,0.6931034482758621,0.6873385012919897,0.6354166666666666,0.6294067067927773,0.012803299246634644,8.308241297744842e-05,0.020301039265401073,0.02305624530095928
6,0.02717103958129883,0.0006645679473876953,0.6257753273604411,0.6261194299234338,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",45,0.6267123287671232,0.6281276962899051,0.6151202749140894,0.6206896551724138,0.6275862068965518,0.6270456503014643,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0018365244801136524,4.8202930350834177e-05,0.005640036680305007,0.002759336625227324
7,0.03917841911315918,0.0006494998931884765,0.6292212267401792,0.627154358195732,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 3}",37,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6344827586206897,0.6304909560723514,0.6275862068965518,0.6218776916451335,0.6319444444444444,0.6268271711092004,0.004175290232337573,1.4192936060666833e-05,0.003418941746291414,0.002888070519876078
8,0.03583827018737793,0.0006615638732910157,0.611302549965541,0.6109612541699316,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 4}",65,0.5924657534246576,0.6177739430543572,0.6013745704467354,0.6137931034482759,0.6103448275862069,0.6141257536606374,0.6206896551724138,0.599483204134367,0.6319444444444444,0.6096302665520207,0.007207766906532118,3.561861861186674e-05,0.013911818721217729,0.006292270144484733
9,0.03426394462585449,0.0006562232971191406,0.6037215713301172,0.6030260579586121,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",69,0.6095890410958904,0.5927523727351165,0.6082474226804123,0.6086206896551725,0.6137931034482759,0.5960378983634798,0.593103448275862,0.6037898363479759,0.59375,0.6139294926913156,0.002687878845050095,1.6696519652727903e-05,0.008577781371658934,0.007812184493687459
10,0.04510817527770996,0.0006944179534912109,0.6368022053756031,0.6488503354362446,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 6}",32,0.6095890410958904,0.6410698878343399,0.6563573883161512,0.6629310344827586,0.6689655172413793,0.6287683031869078,0.6103448275862069,0.6270456503014643,0.6388888888888888,0.6844368013757524,0.011649602028344953,2.9102149554826314e-05,0.02394245771753857,0.02192683434369194
11,0.051692771911621097,0.000717782974243164,0.6623018607856651,0.6755633273645854,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 7}",17,0.613013698630137,0.6522864538395168,0.6838487972508591,0.6836206896551724,0.696551724137931,0.6804478897502153,0.6862068965517242,0.689922480620155,0.6319444444444444,0.6715391229578676,0.012586467196982367,5.526470664397122e-05,0.03337013433853949,0.013061182038444365
12,0.03558788299560547,0.000809335708618164,0.6195727084769125,0.6206207194358939,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",53,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.5902777777777778,0.5907136715391229,0.003439534231373998,5.431792698860524e-05,0.014599440865315942,0.014954838321537612
13,0.05626587867736817,0.0007996559143066406,0.6719503790489317,0.67282058314426,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",12,0.6575342465753424,0.6686798964624676,0.6804123711340206,0.6879310344827586,0.6793103448275862,0.6950904392764858,0.6620689655172414,0.661498708010336,0.6805555555555556,0.6509028374892519,0.013668018412565758,5.010898357866737e-05,0.010060925826274101,0.016431615557490002
14,0.043720245361328125,0.0008643627166748047,0.6299104066161269,0.6281803904923438,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",33,0.6267123287671232,0.6246764452113891,0.6219931271477663,0.6258620689655172,0.6206896551724138,0.6236003445305771,0.6275862068965518,0.6227390180878553,0.6527777777777778,0.6440240756663801,0.013834567481083354,7.018560284106036e-05,0.011682992268756045,0.007990744167896685
15,0.049359798431396484,0.0008022785186767578,0.6209510682288077,0.6225095639896081,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",49,0.6267123287671232,0.6272648835202761,0.6254295532646048,0.6293103448275862,0.6172413793103448,0.6270456503014643,0.6344827586206897,0.6210163652024118,0.6006944444444444,0.6079105760963026,0.005464985867426411,3.9685916583344526e-05,0.011467022083977442,0.007807686635624363
16,0.044016790390014646,0.0008524894714355469,0.6795313576843556,0.6802170377435978,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",2,0.6917808219178082,0.6781708369283865,0.6701030927835051,0.6810344827586207,0.7,0.6709732988802756,0.6758620689655173,0.6821705426356589,0.6597222222222222,0.6887360275150473,0.004565809897307003,6.617369404111156e-05,0.014571721499186271,0.005773928132414151
17,0.052213001251220706,0.0008157730102539062,0.6526533425223984,0.652620723538728,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",24,0.6267123287671232,0.6194995685936152,0.6254295532646048,0.6206896551724138,0.6793103448275862,0.7028423772609819,0.6206896551724138,0.6218776916451335,0.7118055555555556,0.6981943250214961,0.025418061599331503,5.050459653249641e-05,0.03639732346764972,0.03914308545996626
18,0.03917379379272461,0.0007384777069091797,0.6154376292212267,0.6168034319283352,0.01,"(100,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 2}",57,0.5958904109589042,0.5944779982743744,0.6219931271477663,0.6086206896551725,0.6275862068965518,0.627906976744186,0.6,0.6261843238587425,0.6319444444444444,0.6268271711092004,0.0066920443035317,2.6854696587819152e-05,0.014721470326030446,0.01324497978103409
