iter,time,reward,steps,convergence
1,0.026297682000000044,-193.14,194.04,79.8
2,0.05127119499999999,-8.02,40.2,50.25073721750313
3,0.08350814200000034,38.26,25.28,69.84130652387594
4,0.11219013100000019,35.98,26.58,61.2854994183948
5,0.1424413540000007,39.16,26.88,22.254571994029106
6,0.1763498520000013,37.9,25.24,19.904581888865625
7,0.20918087100000093,38.04,25.68,17.453165651624687
8,0.23815179200000092,36.36,25.04,7.039028927285376
9,0.2548800670000011,27.26,28.34,5.289408569931549
10,0.27373906100000056,44.8,49.56,3.08874610950161
11,0.3079078329999998,46.48,45.48,0.8855779756464202
12,0.3114993610000001,46.4,49.84,0.0008801554976152204
13,0.3148515380000001,46.28,46.26,0.000839539143544954
14,0.3188637080000003,48.16,48.3,0.000768672356301181
15,0.32205541300000107,49.7,47.92,0.0007141012681515235
16,0.3254645310000015,45.32,48.64,0.0006075364076139067
17,0.3286291950000013,44.64,47.44,0.0004789879788269502
18,0.3323251570000014,46.06,48.04,0.00035427607283367024
19,0.335255367000002,47.9,47.0,0.0002483445131638007
20,0.33857609200000205,49.22,48.62,0.00016645670564230386
21,0.3434937890000018,47.68,46.46,0.00010756611408169192
22,0.34872253400000197,49.74,44.76,6.759445158621702e-05
23,0.35228026500000187,49.02,47.62,4.1714324670039105e-05
24,0.3555150820000019,45.04,49.36,2.558193538249043e-05
25,0.3588775640000019,46.96,50.62,1.5806118433658867e-05
26,0.36185453000000223,44.4,47.78,9.978324083448342e-06
27,0.3645980100000026,47.92,47.56,6.506865059208167e-06
28,0.3676615320000023,46.34,47.4,4.4008866844080785e-06
29,0.37106817200000286,49.16,49.0,3.0746938506354127e-06
30,0.37500877700000235,47.08,48.8,2.1971434662759748e-06
31,0.378625309000002,46.66,47.48,1.5872314342857408e-06
32,0.3816151350000023,47.04,47.24,1.1473949861340316e-06
33,0.3852987580000029,47.14,47.94,8.23924043658053e-07
