iter,time,reward,steps,convergence
1,0.000613340999997547,-318.72,200.0,89.545000077702
2,0.0013342230000006339,-204.7,200.0,82.67905997243429
3,0.002050986000000421,-205.84,200.0,73.46828147719849
4,0.0026574880000040935,-233.84,199.24,65.10332434752223
5,0.0033710570000025086,-194.06,195.9,57.80799726082423
6,0.0037802670000033345,-240.18,200.0,52.363196095642934
7,0.004451258000003122,-250.62,200.0,42.92307702184592
8,0.004609630000004472,-349.22,200.0,33.68283380734325
9,0.004866757000009159,-249.56,191.82,28.76913248215353
10,0.004991265000008127,-266.96,199.64,20.587221724681505
11,0.0052742650000041635,-241.04,197.24,24.91237552209841
12,0.005759558000008269,-183.84,186.98,23.334602115872826
13,0.0060192740000033496,-177.7,183.54,23.340752315605815
14,0.006751695000005498,-172.56,171.1,22.99682525002135
15,0.006885104000005526,-23.12,81.98,20.761148795549357
16,0.00733277100000862,-169.16,170.62,19.065353277342826
17,0.007726765000008129,-173.8,171.42,19.30918392325623
18,0.007894897000007006,-198.66,198.52,22.848518556846123
19,0.008285564000004797,-36.26,90.18,18.481654856552318
20,0.008375036000003888,-102.44,155.42,18.215025073486796
21,0.008561877000005325,-120.8,165.58,14.466435337654982
22,0.00891635100000343,-23.96,97.82,13.684904638303582
23,0.009156918000002179,-223.68,191.88,15.304554749048332
24,0.009883804000004659,-219.16,147.62,16.86152271765282
25,0.010053603000002909,-211.9,196.9,18.246908875381134
26,0.010624726000003193,-16.98,56.9,21.606920858336835
27,0.010999484999999254,-209.72,155.16,21.320738638166045
28,0.011091876000001832,-351.6,179.06,19.743356730881533
29,0.011314743999996324,-516.42,183.06,22.830192232783865
30,0.011758670999995502,-163.76,176.22,22.68292613187989
31,0.012012137999995787,-170.64,176.46,23.00844091122763
32,0.012821228999996492,-223.56,188.04,26.17266988886181
33,0.01298848900000138,-140.0,132.64,28.447648073619877
34,0.013152963999999656,-186.98,185.02,26.79233008400027
35,0.013252545000000282,-192.72,104.02,30.559134140267396
36,0.013328467000000899,-93.84,111.28,28.07413087169952
37,0.013538156000002743,-82.72,106.1,28.38251476666117
38,0.013958559000002424,-192.46,192.7,28.531688525955623
39,0.0143329970000039,-192.76,193.0,27.163575034520164
40,0.014652717000004145,-42.04,85.44,26.9210111613639
41,0.014994242000000213,-130.64,166.24,27.067087003844513
42,0.015434880000000817,-23.84,88.24,29.042632003218692
43,0.015593480999996245,-46.56,110.06,28.136225877904547
44,0.015896640999997658,-41.38,105.14,33.44581421605689
45,0.016102080999999657,14.82,46.58,31.00651129212438
46,0.01619427100000337,7.58,52.96,28.364364156228326
47,0.01638618300000161,-170.98,167.7,32.737426901766796
48,0.016698930000003998,-52.74,105.86,33.75797961935604
49,0.01682566500000604,-60.54,126.7,34.36568002506925
50,0.01693754600000119,17.6,72.84,35.90954603265472
51,0.0171145690000003,-32.44,101.34,35.756210094897405
52,0.017289791000003163,-47.62,69.58,31.785795409967175
53,0.017484143000004337,20.4,62.54,29.566221875276135
54,0.017557876000005024,6.0,84.3,29.75613164751909
55,0.017771968000005245,-5.98,90.4,28.181640944006762
56,0.01839069000000393,-183.72,189.88,29.38670984775639
57,0.018631452999997578,-84.44,128.54,27.207782235119158
58,0.018789577999996254,26.62,53.74,24.89567579479932
59,0.018842768999995485,3.96,72.92,23.718117704625932
60,0.01943900499999529,17.12,76.4,23.07817768346852
61,0.019579228999994314,7.58,79.22,23.23890371037424
62,0.019695341999991456,32.66,60.86,22.6501487883657
63,0.019883732999993242,-198.22,200.0,26.75708544965358
64,0.020599661999995078,-225.1,200.0,21.542358837312676
65,0.020731396999998708,-191.74,193.32,21.783094997317683
66,0.020920989000003942,-234.62,186.6,22.645107533964833
67,0.02127213100000347,-398.52,174.08,21.066130513375427
68,0.021471971000003975,-47.12,70.58,24.284880096492397
69,0.021592732000002002,-259.14,182.84,23.527348214636255
70,0.02166409800000224,-27.98,43.96,22.043618223147377
71,0.021737699000006216,-42.62,62.74,21.578757038735898
72,0.021904122000002246,-31.52,58.42,21.467884034703083
73,0.021979830000006473,3.88,25.56,17.207263485874734
74,0.02203929200000232,-467.7,124.68,20.553834542623157
75,0.02221776199999681,-144.98,137.16,27.150137973797875
76,0.022373551999997687,-158.24,135.24,26.204604622681167
77,0.022516355999997018,-270.1,180.94,27.009803315954976
78,0.02271136199999546,-197.0,196.24,27.35542310523407
79,0.023212545999996337,-240.18,178.46,27.255350715274112
80,0.02376944699999939,-194.04,190.96,31.363483924105804
81,0.02391753099999505,-285.58,127.88,34.91738674886314
82,0.0240616299999985,-75.22,104.5,34.693579593570306
83,0.024200272999998163,-29.28,55.82,38.14516576630538
84,0.02427591999999379,-5.38,41.52,38.01062881302236
85,0.024444737999992583,-8.74,92.88,31.252774803159166
86,0.024607498999998256,-0.5,25.98,30.027185300160973
87,0.024789069999997082,4.44,40.86,36.6118258096709
88,0.024867320999995002,18.52,34.8,33.247627459661764
89,0.024961972999996362,-2.04,50.82,36.339543754152
90,0.025043599999996502,24.76,38.82,32.791957694221985
91,0.025120383000000857,-5.78,47.28,28.80228995704158
92,0.02527016900000234,-25.78,75.08,30.215502022650764
93,0.025362309999998445,-62.08,104.4,29.277061423375166
94,0.025466381000001093,28.86,27.32,30.142865729359222
95,0.025532185999999513,-62.16,88.06,31.50617047159749
96,0.02562210899999684,34.46,27.02,30.93840056138432
97,0.025683867999994447,-7.44,64.6,22.955678864184733
98,0.025765540999998393,-28.74,79.46,22.11367069999748
99,0.025844085999999322,-6.24,60.68,20.24025878518048
100,0.02600848699999858,-40.78,81.16,22.35693383861963
101,0.026301660999997978,-25.44,61.22,24.552333773283166
102,0.02640944200000206,-6.34,37.84,24.10864575275098
103,0.026479387000001964,-47.4,84.2,25.027976558359047
104,0.02659047600000264,-10.22,65.72,22.472035460005678
105,0.026673750999997026,-100.24,114.34,24.107879424428027
106,0.026782928000002926,-13.34,60.22,25.07957538084193
107,0.026984362999996847,-99.9,123.38,26.104708207989518
108,0.02755845000000079,-91.18,120.76,27.76968565819873
109,0.02809060599999924,-453.42,177.36,29.164681335346664
110,0.028382426000000294,-38.96,128.82,31.22831864581724
