iter,time,reward,steps,convergence
1,0.012544201,-198.12,197.54,79.8
2,0.02765316799999995,-192.04,191.78,29.2227894465408
3,0.041578364999999895,-150.34,155.92,27.690840157783384
4,0.05101249099999994,-147.5,155.06,23.47761557384886
5,0.06212941299999997,-13.82,33.16,20.632236149520473
6,0.07575352300000016,-2.02,29.28,18.54245257756771
7,0.08609968400000034,6.22,24.96,17.589565577844006
8,0.09608339900000029,1.84,25.24,16.950366272489187
9,0.10600947100000013,9.26,25.04,14.473481131630649
10,0.11787132700000003,11.46,25.12,14.14076198735415
11,0.1318419959999999,2.62,25.46,11.8900621111102
12,0.14197025799999996,0.54,26.22,11.090550656595676
13,0.15224626399999996,8.72,24.12,9.955697846647382
14,0.1608636000000001,36.94,25.04,8.391140288050838
15,0.16952688500000002,35.28,25.14,6.933838688633676
16,0.18047686400000007,37.34,26.38,6.773196531171127
17,0.189252443,37.72,26.0,5.660613535087101
18,0.19895397000000004,42.42,25.36,4.613877884132972
19,0.20843372400000004,37.44,25.7,4.262664456043964
20,0.21817043800000024,36.78,25.78,3.616540207306951
21,0.22810742400000006,37.22,24.76,3.414197693488944
22,0.23713754900000006,31.68,27.4,3.1424619595318433
23,0.24446472100000016,30.64,26.12,2.677636812777912
24,0.2540381489999999,35.8,26.18,2.1739719490335325
25,0.2583859839999998,40.38,26.24,1.711582802161118
26,0.26203651299999975,37.1,27.24,1.2918102304002232
27,0.2701908929999999,40.98,28.94,1.0678805086876473
28,0.2744780539999996,36.04,28.26,0.91531278439194
29,0.27819150899999934,40.02,27.18,0.6763879625412024
30,0.2817349809999996,46.44,46.76,0.468948241136637
31,0.28536737799999945,46.42,48.88,0.3347461409209629
32,0.288951814999999,43.3,47.54,0.30820493376025127
33,0.29262652899999875,48.68,49.16,0.21926991581847943
34,0.2970528629999989,45.94,48.92,0.14440309503347137
35,0.3020458709999989,48.3,47.18,0.0913719905969721
36,0.3062481329999991,44.88,47.52,0.05627754869656698
37,0.30987801999999887,44.88,47.88,0.03397069180426726
38,0.31329152199999877,49.3,49.44,0.02022168559563653
39,0.3183186109999987,46.18,47.78,0.011978092626158343
40,0.3217109219999985,45.06,49.44,0.007160765870239061
41,0.32549925199999885,44.24,48.16,0.004402877819170925
42,0.32943714999999907,47.34,47.6,0.002835625564610922
43,0.3351525539999991,45.0,48.3,0.0019293920366934003
44,0.3400538729999991,44.46,47.58,0.0013779815080567914
45,0.34411017599999916,38.04,48.74,0.0010151217218634656
46,0.3484305389999989,45.7,48.62,0.0007564001027233758
47,0.3523259259999989,47.4,46.34,0.0005614133691160816
48,0.3593316779999989,44.84,50.46,0.0004111208449195658
49,0.3634760779999988,47.94,48.92,0.000295638693145861
50,0.3677014919999988,45.42,47.92,0.00020847221724551446
51,0.37193582599999875,48.46,47.74,0.00014426145593304796
52,0.37553022099999867,46.34,47.18,9.817413685553333e-05
53,0.3793104169999988,43.9,47.52,6.590882608747961e-05
54,0.38280008299999846,50.12,46.34,4.3818324343192216e-05
55,0.39638269799999826,44.38,47.26,2.897386197275864e-05
56,0.4000405459999983,46.22,47.96,1.913982279688753e-05
57,0.40370009599999834,47.34,47.16,1.2684511165872436e-05
58,0.4075704579999986,45.8,50.08,8.4624104097486e-06
59,0.4110230609999985,47.28,48.02,5.695493168644816e-06
60,0.4144871379999988,45.24,48.18,3.8695138258049155e-06
61,0.417874933999999,49.02,47.58,2.6515756985645567e-06
62,0.42143395099999914,49.54,46.74,1.8290637093798523e-06
63,0.4249542189999991,48.54,49.66,1.266871578309292e-06
64,0.428386248999999,44.98,48.72,8.787978451607614e-07
