iter,time,reward,steps,convergence
1,0.12023739099999986,-299.0,300.0,83.8935897024
2,0.2615559249999997,-299.0,300.0,64.54686087513427
3,0.44885939299999933,-299.0,300.0,64.90671565307396
4,0.6056685589999979,-305.23,297.87,67.83331691562178
5,0.8389073819999986,-243.18,253.3,60.878454959382175
6,1.0187968419999933,-13.71,73.19,60.7014193803643
7,1.1582395529999907,5.86,56.44,58.70698194709867
8,1.3085486699999933,-5.77,57.12,57.51784761080688
9,1.451398717999993,0.61,56.14,44.63914207720892
10,1.5920383479999956,11.38,62.88,39.26277213758527
11,1.7564973839999922,11.65,64.86,8.458157207062348
12,1.8994083419999939,13.06,64.17,6.964750719841577
13,2.0312512529999935,4.22,63.79,5.410413100370958
14,2.132903161999998,11.95,62.52,3.5440549666275754
15,2.2194352499999965,7.86,62.81,1.536893765175165
16,2.239902506,9.73,64.41,0.00029258457328573684
17,2.258831050000005,9.72,64.07,0.0001006207804259418
18,2.280519072000004,8.71,62.94,3.601798063357364e-05
19,2.299152290000002,14.08,63.46,1.3362076973777448e-05
20,2.317776232,16.13,63.41,5.113636195375193e-06
21,2.3376521789999956,6.88,63.94,2.009632170896225e-06
22,2.355747921999992,15.43,62.94,8.077490267766052e-07
