iter,time,reward,steps,convergence
1,0.0008061030000021674,-823.35,300.0,91.71000000000001
2,0.0016146390000244537,-677.49,300.0,86.22
3,0.002345167000044057,-508.73,300.0,76.32000000000001
4,0.0030620640000051935,-515.27,300.0,70.82559
5,0.003853074000005563,-482.22,300.0,65.60761941000001
6,0.004669312000032733,-431.15,300.0,58.05661941000001
7,0.0055255870000223695,-400.66,300.0,51.488329410000006
8,0.006367520000026161,-368.78,300.0,41.58832941000001
9,0.0071086230000219075,-395.87,300.0,35.97242104296758
10,0.007905966999999237,-431.56,300.0,31.007931042967574
11,0.008667288999959055,-348.57,299.71,33.338604636563865
12,0.00938012899990781,-322.98,300.0,28.93403771807427
13,0.010397848999900816,-299.0,300.0,28.934037718086678
14,0.01139177299990024,-303.84,300.0,24.52844771808669
15,0.012244346999921163,-299.87,300.0,19.846418308108206
16,0.012959562999924401,-299.0,300.0,17.497418308108237
17,0.013653081999905226,-304.95,300.0,14.165708413025834
18,0.014384173999872019,-335.71,300.0,14.165708423517604
19,0.015230181999868364,-325.77,300.0,9.887349075839422
20,0.015943161999871336,-308.8,300.0,9.71190722424558
21,0.01671396499983757,-299.0,300.0,4.771233640162873
22,0.017412263999858624,-299.0,300.0,4.765800558652489
23,0.018154509999874335,-305.86,300.0,4.7658005587163625
24,0.018855511999845476,-299.49,300.0,4.765800559581599
25,0.019551415999842447,-299.0,300.0,4.765800559560089
26,0.020242975999792634,-303.41,300.0,4.765800559560065
27,0.02099216999977216,-313.21,300.0,4.765800454643333
28,0.022017696999739655,-325.07,300.0,9.18059030561855
29,0.022714989999712998,-303.1,300.0,9.178392113725199
30,0.02351188299974183,-307.36,300.0,4.4183531713812725
31,0.024204775999749018,-311.62,300.0,4.453776262275956
32,0.0249071489997732,-364.32,300.0,7.990155232114537
33,0.025767627999755405,-300.16,300.0,7.990218943590331
34,0.026481621999721483,-299.0,300.0,7.99021894752089
35,0.02723843699976669,-299.0,300.0,7.990218947528247
36,0.028621685999723923,-299.0,300.0,7.990218947528392
37,0.02943874699974458,-299.0,300.0,7.990218947812158
38,0.030257456999777332,-299.0,300.0,3.5754290884701008
39,0.030951859999788667,-300.16,300.0,3.571894996994902
40,0.03169166299977633,-299.0,300.0,3.57186579203847
41,0.03255765199980942,-299.0,300.0,3.5364426927793944
42,0.033346408999761934,-302.48,300.0,6.372295098060477e-05
