,naics_2007_us_code,wage_offer_from_9089,case_status,wage_offer_unit_of_pay_9089,country_of_citzenship,employer_state,pw_level_9089
0,611110.0,52685.0,-1,2.0,117,15,1
1,541511.0,113797.0,1,2.0,57,48,3
2,334418.0,95000.0,1,2.0,85,9,1
3,333415.0,64085.0,1,2.0,57,52,1
4,541511.0,137100.0,1,2.0,57,10,3
5,611310.0,65000.0,1,2.0,26,10,0
6,519190.0,88000.0,1,2.0,57,36,1
7,5415.0,107000.0,1,2.0,57,36,2
8,541511.0,74651.0,1,2.0,57,23,1
9,339999.0,78291.0,1,2.0,102,9,3
10,523110.0,170000.0,1,2.0,63,36,3
11,541511.0,105373.0,1,2.0,57,33,3
12,3344.0,106371.2,1,2.0,26,46,1
13,622110.0,240000.0,1,2.0,57,23,2
14,238210.0,70179.0,1,2.0,18,4,2
15,531312.0,82930.0,1,2.0,18,36,3
16,541511.0,79206.0,-1,2.0,57,23,2
17,711219.0,8.52,-1,1.0,49,4,0
18,339112.0,80000.0,1,2.0,57,20,1
19,621210.0,36254.0,1,2.0,116,10,2
20,332912.0,64000.0,1,2.0,126,33,1
21,541511.0,81900.0,1,2.0,57,46,1
22,541360.0,107182.4,1,2.0,116,46,0
23,611110.0,45864.0,1,2.0,133,4,0
24,523110.0,134826.0,1,2.0,42,33,3
25,541511.0,87422.0,1,2.0,57,40,3
26,541330.0,69014.0,1,2.0,57,4,1
27,611310.0,35000.0,1,2.0,24,25,0
28,522110.0,99923.0,1,2.0,57,36,3
29,611710.0,73798.0,1,2.0,3,4,3
30,541512.0,72675.0,-1,2.0,57,33,1
31,541511.0,65603.0,-1,2.0,57,15,1
32,334413.0,96138.0,1,2.0,57,4,2
33,334418.0,78500.0,1,2.0,57,46,1
34,541511.0,67662.0,1,2.0,57,9,2
35,423450.0,82856.0,1,2.0,18,4,0
36,523110.0,134000.0,1,2.0,26,36,3
37,334419.0,146099.2,1,2.0,57,4,3
38,5415.0,36733.0,-1,2.0,129,4,0
39,454111.0,82701.0,1,2.0,57,51,1
40,51521.0,116000.0,1,2.0,24,4,3
41,334119.0,96950.0,1,2.0,57,4,2
42,541512.0,97500.0,1,2.0,57,33,3
43,334290.0,115024.0,1,2.0,24,4,2
44,541512.0,103834.0,1,2.0,57,33,3
45,5415.0,95555.2,1,2.0,18,36,2
46,611310.0,40000.0,1,2.0,66,10,0
47,541330.0,78000.0,1,2.0,57,15,1
48,541511.0,82514.0,1,2.0,106,7,1
49,516110.0,120037.0,1,2.0,57,36,3
50,561320.0,100.0,1,1.0,57,23,1
51,5415.0,43.05,1,1.0,89,33,2
52,221121.0,102773.0,1,2.0,57,40,3
53,523110.0,160000.0,1,2.0,57,36,2
54,523110.0,88000.0,1,2.0,57,33,0
55,54149.0,90022.0,1,2.0,85,3,3
56,5415.0,65707.0,1,2.0,101,15,1
57,541519.0,111822.0,1,2.0,24,51,1
58,541512.0,73000.0,1,2.0,57,52,1
59,523110.0,125000.0,1,2.0,26,36,0
60,811111.0,38293.0,-1,2.0,126,10,2
61,611310.0,62050.0,1,2.0,63,45,0
62,541320.0,64000.0,1,2.0,26,20,1
63,541511.0,74797.0,1,2.0,57,4,1
64,522298.0,95785.0,1,2.0,57,5,1
65,611310.0,43500.0,1,2.0,116,15,0
66,541511.0,82514.0,1,2.0,57,48,1
67,541611.0,125000.0,1,2.0,24,20,1
68,423830.0,69266.0,1,2.0,124,15,1
69,32619.0,57137.6,-1,2.0,85,4,2
70,221121.0,65960.0,1,2.0,57,46,0
71,334413.0,105040.0,1,2.0,10,46,0
72,424210.0,100000.0,1,2.0,24,4,1
73,523110.0,200000.0,1,2.0,117,6,3
74,722110.0,35260.0,1,2.0,66,35,3
75,523999.0,102357.0,1,2.0,57,29,3
76,541512.0,135000.0,1,2.0,57,4,2
77,62211.0,190000.0,1,2.0,57,34,0
78,561621.0,75774.0,-1,2.0,116,4,3
79,54151.0,66435.2,1,2.0,57,33,1
80,5415.0,100672.0,1,2.0,57,23,3
81,541511.0,64792.0,1,2.0,57,25,1
82,541512.0,84198.0,1,2.0,57,46,2
83,541511.0,117312.0,1,2.0,57,33,3
84,541611.0,105000.0,1,2.0,57,36,1
85,622110.0,50000.0,1,2.0,57,20,0
86,454111.0,79535.0,1,2.0,97,51,2
87,325414.0,108000.0,1,2.0,57,4,3
88,541511.0,98530.0,1,2.0,57,4,1
89,3336.0,71739.0,1,2.0,57,16,2
90,541618.0,62000.0,1,2.0,57,48,1
91,522291.0,110926.0,1,2.0,57,36,3
92,541310.0,68000.0,1,2.0,45,36,1
93,541511.0,70000.0,1,2.0,57,52,1
94,334220.0,88733.0,1,2.0,57,4,1
95,541710.0,114254.0,1,2.0,42,33,1
96,611310.0,82698.63,1,2.0,85,9,0
97,611310.0,129584.0,1,2.0,26,36,0
98,339114.0,81536.0,-1,2.0,116,4,3
99,541511.0,105373.0,1,2.0,57,33,3
100,72211.0,24440.0,-1,2.0,85,4,2
101,447110.0,48500.0,-1,2.0,57,45,3
102,332911.0,76586.0,1,2.0,57,46,1
103,333131.0,108160.0,1,2.0,57,32,3
104,447110.0,50000.0,1,2.0,97,46,3
105,5417.0,55000.0,1,2.0,59,11,1
106,541511.0,87500.0,1,2.0,57,40,3
107,5416.0,20.0,1,1.0,12,9,0
108,541618.0,113755.0,1,2.0,57,4,2
109,541512.0,135000.0,1,2.0,57,4,1
110,54133.0,79248.0,1,2.0,57,23,1
111,541511.0,70553.6,-1,2.0,57,33,1
112,51121.0,89301.0,1,2.0,57,4,1
113,541511.0,80600.0,1,2.0,57,21,2
114,3152.0,105123.2,1,2.0,116,4,1
115,51121.0,84000.0,1,2.0,110,51,0
116,54143.0,47715.0,1,2.0,103,33,1
117,33411.0,38064.0,1,2.0,126,4,0
118,611710.0,52.0,-1,1.0,18,4,3
119,541511.0,69326.0,-1,2.0,57,21,0
120,541330.0,169000.0,1,2.0,85,46,3
121,541710.0,76877.0,1,2.0,30,21,0
122,541511.0,105373.0,1,2.0,57,33,3
123,541910.0,54741.0,1,2.0,57,33,0
124,339920.0,110000.0,1,2.0,57,50,3
125,621111.0,148844.8,1,2.0,65,3,0
126,6111.0,53000.0,1,2.0,42,4,1
127,33593.0,75000.0,1,2.0,54,4,3
128,447190.0,44000.0,1,2.0,57,29,0
129,238210.0,76565.0,1,2.0,116,10,0
