,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.046869421005249025,0.0006888389587402343,0.627842866988284,0.6278434193499093,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 2}",70,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.003390162509586198,7.118164662250758e-05,0.0021887550862273665,0.0005454364033310899
1,0.07227644920349122,0.0005987644195556641,0.6009648518263266,0.618040590243963,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 5}",117,0.636986301369863,0.6272648835202761,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.4861111111111111,0.5786758383490972,0.005397218964807144,2.714899903748401e-05,0.05729495440561863,0.01968594606952215
2,0.10873456001281738,0.0006540298461914062,0.6492074431426602,0.6405682256795803,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 10}",48,0.6267123287671232,0.6160483175150993,0.6254295532646048,0.628448275862069,0.6758620689655173,0.6494401378122309,0.6275862068965518,0.627906976744186,0.6909722222222222,0.6809974204643164,0.00989223867143192,8.423776139604569e-05,0.028228793663990136,0.022898283430900262
3,0.14792051315307617,0.0006805896759033203,0.653342522398346,0.660750325543586,0.1,"(100,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 15}",37,0.6746575342465754,0.6893874029335634,0.6701030927835051,0.6646551724137931,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6666666666666666,0.6938950988822012,0.015211552077193918,4.673262024595637e-05,0.021170200895984863,0.0286051643970301
4,0.16711907386779784,0.0008041858673095703,0.6602343211578222,0.658152369102057,0.1,"(100,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 20}",25,0.6438356164383562,0.6272648835202761,0.697594501718213,0.7094827586206897,0.6310344827586207,0.6227390180878553,0.6310344827586207,0.6365202411714039,0.6979166666666666,0.6947549441100602,0.010320137258271602,0.0001263450215492094,0.0309305569290838,0.03647094333789293
5,0.19668784141540527,0.0006697177886962891,0.627842866988284,0.6244006269153173,0.1,"(100,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 25}",70,0.6267123287671232,0.6238136324417601,0.6288659793814433,0.6293103448275862,0.6275862068965518,0.627906976744186,0.6275862068965518,0.6253229974160207,0.6284722222222222,0.6156491831470335,0.011508332730063417,2.0293889186903684e-05,0.0007563639616596809,0.004778763793753548
6,0.21579971313476562,0.0007269859313964843,0.638869745003446,0.6511279218260542,0.1,"(100,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 30}",53,0.6883561643835616,0.6988783433994823,0.6116838487972509,0.6672413793103448,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6388888888888888,0.6337059329320722,0.02036304140348626,3.592752027444563e-05,0.026304627117608028,0.02800605845366481
7,0.23103389739990235,0.0007981300354003906,0.6747070985527223,0.6774926858888858,0.1,"(100,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 35}",14,0.702054794520548,0.7126833477135461,0.6907216494845361,0.6939655172413793,0.6551724137931034,0.6752799310938846,0.6862068965517242,0.6683893195521102,0.6388888888888888,0.6371453138435081,0.006352841853994797,9.420504282632766e-05,0.02364919253152298,0.025398483599765407
8,0.26180315017700195,0.000785207748413086,0.6871123363197794,0.6965886460459112,0.1,"(100,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 40}",5,0.6815068493150684,0.6971527178602244,0.6838487972508591,0.7129310344827586,0.6827586206896552,0.7019810508182601,0.6827586206896552,0.6658053402239449,0.7048611111111112,0.705073086844368,0.011012843239304732,0.00012360356818072625,0.008863530171297441,0.016223856009300514
9,0.29582791328430175,0.0007554054260253906,0.7195037904893177,0.7163994663148563,0.1,"(100,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 50}",1,0.7294520547945206,0.7066436583261432,0.7044673539518901,0.7232758620689655,0.7103448275862069,0.7217915590008613,0.7206896551724138,0.7114556416881999,0.7326388888888888,0.7188306104901118,0.008470982919251331,2.4937078966675747e-05,0.010795892532323116,0.006354323497497634
10,0.03833465576171875,0.0004959583282470703,0.627842866988284,0.6278434193499093,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",70,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0017473429664672975,2.368177074096761e-05,0.0021887550862273665,0.0005454364033310899
11,0.0683504581451416,0.0005114078521728516,0.6271536871123363,0.6250871747331995,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",90,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6241379310344828,0.6141257536606374,0.6319444444444444,0.6268271711092004,0.0056850266329974255,1.270840358453129e-05,0.002654417487376514,0.0055076927081119526
12,0.1074552059173584,0.0005317211151123046,0.6305995864920745,0.6386925745479506,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",61,0.6267123287671232,0.6281276962899051,0.6116838487972509,0.621551724137931,0.6482758620689655,0.657192075796727,0.6310344827586207,0.652885443583118,0.6354166666666666,0.6337059329320722,0.009497070148501036,1.3189008933998424e-05,0.0119117483036435,0.01395679818507163
13,0.1346892833709717,0.0006482124328613282,0.6237077877325982,0.6340454428667999,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",101,0.6267123287671232,0.6617773943054357,0.6082474226804123,0.603448275862069,0.6275862068965518,0.627906976744186,0.6241379310344828,0.6304909560723514,0.6319444444444444,0.646603611349957,0.010398757937563957,0.00011572037179141671,0.008140146577158546,0.019561546450482886
14,0.15181636810302734,0.0006613254547119141,0.627842866988284,0.6274985917637024,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",70,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.6267241379310344,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.00809892181920851,0.0001167542768375307,0.0021887550862273665,0.000596642861967518
