,housing SSE (left),perm SSE (left)
2,8.04300901072887,4.182953833170548
5,5.823495426860437,2.8289044937310583
10,4.571693861866848,1.8180699128921582
15,3.926445894746154,1.461212696298546
20,3.508659404492026,1.243492731616766
25,3.188006458167647,1.086531672896432
30,2.962051180410808,0.99019062492259
35,2.7356383742983006,0.91514237259574
40,2.58090100796033,0.8461162524942996
50,2.3474599529195106,0.7675893300679022
60,2.139173397241123,0.6981234594820823
70,1.9973204135688847,0.6473729782725082
