,housing SSE (left),perm SSE (left)
2,13421.094091343752,81680.04654414195
5,8950.934718271521,54634.72587083451
10,7042.175901628778,34620.089890500385
15,6073.703930769477,27508.317914261097
20,5382.0849200620105,23701.16432969794
25,4903.094353392326,20811.202641249605
30,4550.658968270893,18761.95030937425
35,4227.9513184717425,17347.01454388072
40,4005.175227190261,16248.895049640028
50,3616.002041720606,14613.787917150226
60,3365.0405516423457,13360.477410902284
70,3105.080514317985,12391.327409559939
