,housing log-likelihood,perm log-likelihood
2,-11.889844020219922,-6.575533158683514
5,-6.532802946294561,-5.025985317417523
10,-1.19581950030909,-4.3347341623105615
15,-1.2376577313084223,-4.2661938824997785
20,-0.15494438886590578,-3.862169361329468
25,0.9058033173564592,-3.6545369053211636
30,1.0971296027390112,-3.3239069353417396
35,2.7403287984767686,-2.9356513569809595
40,3.215953480255807,-2.932241729148152
50,3.7024858218279557,-2.3976221404721283
60,4.229955903551669,-1.800328895638596
70,4.687330336150407,-2.3383177331009444
