,housing log-likelihood,perm log-likelihood
2,-5.684871741843273,-6.093307181414206
5,-2.465146374203171,-2.765973372604551
10,3.2349326751099845,-1.4829774627657213
15,5.820343873809268,-1.4249871290440799
20,5.83802018259048,0.08381642475225454
25,6.764429218938565,0.3743021144613727
30,8.812433010599582,0.6671012529076485
35,6.80442338269962,0.6015466788471714
40,8.594416640560265,0.7135707079319785
50,9.117932345732912,1.4325969495737776
60,11.69908745742274,1.7276738209615372
70,11.689805320732438,1.6713695226818042
